cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca_score
2805,0.8493547,0.65,0.5375,0.375,0.25,0.413990709,2.642674695
2810,2.346240682,0.65,0.633333333,1.164704139,1.164704139,0.389109704,6.533006291
2825,1.284927,0.590909091,0.787878788,0.69444442,0.6111111,0.3652853,4.313324396
2830,1.128221,0.647058824,0.647058824,0.64285713,0.42857143,0.36747553,3.625654207
2840,1.184001,0.7,0.633333333,0.63333333,0.63333333,0.38281101,4.159242463
2850,0.9879274,0.877136752,0.774216524,0.74687499,0.61562502,0.454348179,5.116828833
2861,1.111319,0.88,0.84,0.82352942,0.41176471,0.492198965,5.176146288
2862,0.835246,0.958333333,0.520833333,0.5,0.35714287,0.210556471,2.873411579
2905,0.075856519,0.453509626,0.279878542,0.187282407,0.05866411,0.17166728,-0.137085376
2910,-0.1680973,0.385416667,0.21875,0.05172414,0,0.280099133,-0.449907412
2920,0.328467029,0.480282002,0.339002364,0.056623192,0.023533058,0.178739012,-0.135725875
3000,-0.1911757,0.454545455,0.318181818,0.090909094,0.090909094,0.117137627,-0.466404629
3010,-0.169477654,0.241844347,0.216954549,0.093052995,0.093052995,0.053006073,-1.281867135
3030,1.342809,0.548780488,0.463414634,0.2857143,0.17857143,0.222718361,1.520466479
3040,0.5040194,0.3,0.05,0,0,0.066342557,-1.538355408
3050,0.6058705,0.428571429,0.4,0.21428572,0.16666667,0.282675201,0.935444991
3065,0,0.441176471,0.352941176,0,0,0.076643056,-0.825363588
3070,0.706681941,0.488888889,0.511111111,0.208295384,0.19437102,0.141579464,0.852326063
3090,0.727001454,0.416947666,0.323614354,0.21073295,0.193844303,0.117603389,0.26115673
3100,0.310442759,0.375685413,0.279405664,0.091503391,0.085386469,0.091638977,-0.589607737
3110,0.1059147,0.270833333,0.110119048,0.072916672,0.072916672,0.051091766,-1.41583305
3120,0.6279185,0.285714286,0.285714286,0.090909094,0.090909094,0.144069453,-0.41660977
3140,0.6329063,0.454545455,0.454545455,0.090909094,0.090909094,0.15558842,0.285169388
3150,0.1151615,0.289015152,0.340719697,0.15056023,0.13585435,0.133370983,-0.35256685
3160,-0.3581922,0.191489362,0.340425532,0.041666668,0.041666668,0.175245888,-0.951422255
3200,-0.2189393,0.280487805,0.170731707,0.090909094,0.090909094,0.109846745,-1.128297401
3210,0.217916198,0.318181818,0.363636364,0.180909392,0.180909392,0.077872125,-0.26775194
3220,-0.1880507,0.202380952,0.19047619,0.06818182,0.06818182,0.0665779,-1.46030662
3230,1.146267,0.451219512,0.390243902,0.29166666,0.25,0.140439505,0.964979724
3235,-0.0331901,0.26,0.34,0.1,0.1,0.141500253,-0.597740836
